task,Class_Names,#cPkgClasses,classScope,cIsAbstract,cNestingLevel,#cImports,#cNativeImports,cNativeImportsList,#cInherits,#cImplements
EllipticCurveDigitalSignatureAlgorithm,.EllipticCurveDigitalSignatureAlgorithm.Point,3.0,private,0.0,1.0,2.0,2.0,"java.util.List,java.util.concurrent.ThreadLocalRandom",0.0,0.0
Emirp,.Emirp,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
EmptyMainClass,.EmptyMainClass,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
EqualPrimeAndCompositeSums,.EqualPrimeAndCompositeSums,3.0,public,0.0,0.0,2.0,2.0,"java.util.BitSet,java.util.Objects",0.0,0.0
EqualPrimeAndCompositeSums,.EqualPrimeAndCompositeSums.CompositeIterator,3.0,private,0.0,1.0,2.0,2.0,"java.util.BitSet,java.util.Objects",0.0,0.0
EqualPrimeAndCompositeSums,.EqualPrimeAndCompositeSums.PrimeIterator,3.0,private,0.0,1.0,2.0,2.0,"java.util.BitSet,java.util.Objects",0.0,0.0
EqualRisesFalls,.EqualRisesFalls,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Equlibrium,.Equlibrium,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Err,.Err,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
EstheticNumbers,.EstheticNumbers,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.stream.IntStream,java.util.stream.LongStream",0.0,0.0
EuclidMullinSequence,.EuclidMullinSequence,1.0,public,0.0,0.0,5.0,5.0,"java.math.BigInteger,java.util.ArrayList,java.util.BitSet,java.util.List,java.util.concurrent.ThreadLocalRandom",0.0,0.0
Euler,.Euler,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Euler,.Cooling,2.0,default,0.0,0.0,0.0,0.0,,0.0,1.0
EulerIdentity,.EulerIdentity,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
EulerIdentity,.EulerIdentity.Complex,2.0,public,0.0,1.0,0.0,0.0,,0.0,0.0
eulerSopConjecture,.eulerSopConjecture,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Eval,.Eval,2.0,public,0.0,0.0,7.0,7.0,"java.io.File,java.lang.reflect.Method,java.net.URI,java.util.Arrays,javax.tools.JavaCompiler,javax.tools.SimpleJavaFileObject,javax.tools.ToolProvider",0.0,0.0
Eval,.Eval.StringCompiler,2.0,private,0.0,1.0,7.0,7.0,"java.io.File,java.lang.reflect.Method,java.net.URI,java.util.Arrays,javax.tools.JavaCompiler,javax.tools.SimpleJavaFileObject,javax.tools.ToolProvider",1.0,0.0
Evaluator,.Evaluator,1.0,public,0.0,0.0,17.0,17.0,"java.io.ByteArrayOutputStream,java.io.IOException,java.io.OutputStream,java.lang.reflect.InvocationTargetException,java.net.URI,java.util.HashMap,java.util.LinkedList,java.util.List,java.util.Map,javax.tools.FileObject,javax.tools.ForwardingJavaFileManager,javax.tools.JavaCompiler,javax.tools.JavaFileObject,javax.tools.SimpleJavaFileObject,javax.tools.StandardJavaFileManager,javax.tools.StandardLocation,javax.tools.ToolProvider",0.0,0.0
EvoAlgo,.EvoAlgo,1.0,public,0.0,0.0,1.0,1.0,java.util.Random,0.0,0.0
ExecutableLibrary,.ExecutableLibrary,1.0,public,0.0,0.0,3.0,3.0,"java.util.HashMap,java.util.Map,java.util.stream.IntStream",0.0,0.0
Exp,.Exp,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Extreme,.Extreme,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
F5,.F5,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FacesFromMesh,.FacesFromMesh,2.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Arrays,java.util.Collections,java.util.HashSet,java.util.List",0.0,0.0
FacesFromMesh,.FacesFromMesh.Edge,2.0,private,0.0,1.0,5.0,5.0,"java.util.ArrayList,java.util.Arrays,java.util.Collections,java.util.HashSet,java.util.List",0.0,0.0
Factorial,.Factorial,1.0,public,0.0,0.0,4.0,4.0,"java.math.BigInteger,java.util.function.Function,java.util.stream.LongStream,java.util.stream.Stream",0.0,0.0
FactorialBaseNumbersIndexingPermutations,.FactorialBaseNumbersIndexingPermutations,1.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Collections,java.util.List,java.util.concurrent.ThreadLocalRandom,java.util.stream.Collectors",0.0,0.0
Factorion,.Factorion,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FairshareBetweenTwoAndMore,.FairshareBetweenTwoAndMore,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
Farey,.Farey,2.0,public,0.0,0.0,1.0,1.0,java.util.TreeSet,0.0,0.0
Farey,.Farey.Frac,2.0,private,0.0,1.0,1.0,1.0,java.util.TreeSet,0.0,1.0
FastFourierTransform,.FastFourierTransform,2.0,public,0.0,0.0,1.0,1.0,java.lang.Math.*,0.0,0.0
FastFourierTransform,.Complex,2.0,default,0.0,0.0,1.0,1.0,java.lang.Math.*,0.0,0.0
FaulhabersFormula,.FaulhabersFormula,2.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.stream.IntStream",0.0,0.0
FaulhabersFormula,.FaulhabersFormula.Frac,2.0,private,0.0,1.0,2.0,2.0,"java.util.Arrays,java.util.stream.IntStream",0.0,1.0
FaulhabersTriangle,.FaulhabersTriangle,2.0,public,0.0,0.0,4.0,4.0,"java.math.BigDecimal,java.math.MathContext,java.util.Arrays,java.util.stream.LongStream",0.0,0.0
FaulhabersTriangle,.FaulhabersTriangle.Frac,2.0,private,0.0,1.0,4.0,4.0,"java.math.BigDecimal,java.math.MathContext,java.util.Arrays,java.util.stream.LongStream",0.0,1.0
FD,.FD,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Feigenbaum,.Feigenbaum,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Fen,.Fen,1.0,public,0.0,0.0,2.0,2.0,"java.lang.Math.abs,java.util.Random",0.0,0.0
FermatNumbers,.FermatNumbers,1.0,public,0.0,0.0,6.0,6.0,"java.math.BigInteger,java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map,java.util.stream.Collectors",0.0,0.0
Fibonacci,.Fibonacci,1.0,default,0.0,0.0,0.0,0.0,,0.0,0.0
FileExistsTest,.FileExistsTest,1.0,public,0.0,0.0,1.0,1.0,java.io.File,0.0,0.0
FileExt,.FileExt,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.Comparator",0.0,0.0
FileIODemo,.FileIODemo,1.0,public,0.0,0.0,1.0,1.0,java.io.*,0.0,0.0
FileIODemo2,.FileIODemo2,1.0,public,0.0,0.0,1.0,1.0,java.io.*,0.0,0.0
FileIODemo3,.FileIODemo3,1.0,public,0.0,0.0,2.0,2.0,"java.io.*,java.nio.channels.*",0.0,0.0
FileModificationTimeTest,.FileModificationTimeTest,1.0,public,0.0,0.0,2.0,2.0,"java.io.File,java.util.Date",0.0,0.0
FileRenameTest,.FileRenameTest,1.0,public,0.0,0.0,1.0,1.0,java.io.File,0.0,0.0
FileSizeDistribution,.FileSizeDistribution,1.0,public,0.0,0.0,6.0,6.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
FindBareTags,.FindBareTags,1.0,public,0.0,0.0,10.0,10.0,"java.net.URI,java.net.http.HttpClient,java.net.http.HttpRequest,java.net.http.HttpResponse,java.util.HashMap,java.util.Map,java.util.concurrent.atomic.AtomicReference,java.util.function.Predicate,java.util.regex.Pattern,java.util.stream.Collectors",0.0,0.0
FindPalindromicNumbersBases23,.FindPalindromicNumbersBases23,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FindTheLastSundayOfEachMonth,.FindTheLastSundayOfEachMonth,1.0,public,0.0,0.0,3.0,3.0,"java.time.*,java.util.stream.*,java.time.temporal.TemporalAdjusters.*",0.0,0.0
FindTriangle,.FindTriangle,3.0,public,0.0,0.0,1.0,1.0,java.util.Objects,0.0,0.0
FindTriangle,.FindTriangle.Point,3.0,public,0.0,1.0,1.0,1.0,java.util.Objects,0.0,0.0
FindTriangle,.FindTriangle.Triangle,3.0,public,0.0,1.0,1.0,1.0,java.util.Objects,0.0,0.0
Fire,.Fire,1.0,public,0.0,0.0,3.0,3.0,"java.util.Arrays,java.util.LinkedList,java.util.List",0.0,0.0
FirstClass,.FirstClass,1.0,public,0.0,0.0,1.0,1.0,java.util.ArrayList,0.0,0.0
FirstClassEnvironments,.FirstClassEnvironments,2.0,public,0.0,0.0,2.0,2.0,"java.util.List,java.util.stream.IntStream",0.0,0.0
FirstClassEnvironments,.FirstClassEnvironments.Environment,2.0,private,0.0,1.0,2.0,2.0,"java.util.List,java.util.stream.IntStream",0.0,0.0
FirstClassFunctionsUseNumbersAnalogously,.FirstClassFunctionsUseNumbersAnalogously,1.0,public,0.0,0.0,3.0,3.0,"java.util.List,java.util.function.BiFunction,java.util.function.Function",0.0,0.0
FirstPowerOfTwo,.FirstPowerOfTwo,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FiveFSS,.FiveFSS,1.0,public,0.0,0.0,2.0,2.0,"java.util.Calendar,java.util.GregorianCalendar",0.0,0.0
Fivenum,.Fivenum,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
FizzBuzz,.FizzBuzz,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FizzBuzz,.FizzBuzz.Sound,2.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
FizzBuzzJdk12,.FizzBuzzJdk12,1.0,default,0.0,0.0,1.0,1.0,java.util.stream.IntStream,0.0,0.0
FizzBuzzThrower,.FizzBuzzThrower,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Floyd,.Floyd,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FloydWarshall,.FloydWarshall,1.0,public,0.0,0.0,2.0,2.0,"java.lang.String.format,java.util.Arrays",0.0,0.0
Format,.Format,1.0,public,0.0,0.0,2.0,2.0,"java.text.DecimalFormat,java.text.NumberFormat",0.0,0.0
FortunateNumbers,.FortunateNumbers,1.0,public,0.0,0.0,4.0,4.0,"java.math.BigInteger,java.util.BitSet,java.util.NavigableSet,java.util.TreeSet",0.0,0.0
FourIsMagic,.FourIsMagic,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FourSquares,.FourSquares,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
FractionReduction,.FractionReduction,1.0,public,0.0,0.0,5.0,5.0,"java.util.ArrayList,java.util.Collections,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
Fractran,.Fractran,1.0,public,0.0,0.0,3.0,3.0,"java.util.Vector,java.util.regex.Matcher,java.util.regex.Pattern",0.0,0.0
FunctionalCoverageTree,.FunctionalCoverageTree,2.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
FunctionalCoverageTree,.FCNode,2.0,default,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
FunctionDefinition,.FunctionDefinition,1.0,public,0.0,0.0,5.0,5.0,"java.util.function.BiFunction,java.util.function.DoubleUnaryOperator,java.util.function.Function,java.util.function.Predicate,java.util.function.UnaryOperator",0.0,0.0
FunctionPrototype,.FunctionPrototype,4.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FunctionPrototype,.FunctionPrototype.Rectangle,4.0,private,0.0,1.0,0.0,0.0,,0.0,1.0
FunctionPrototype,.FunctionPrototype.Calculator,4.0,private,0.0,1.0,0.0,0.0,,1.0,0.0
FunctionPrototype,.Arithmetic,4.0,default,1.0,0.0,0.0,0.0,,0.0,0.0
FuscSequence,.FuscSequence,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
FuzzyCircle,.FuzzyCircle,1.0,public,0.0,0.0,1.0,1.0,java.util.Random,0.0,0.0
FWord,.FWord,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
GaltonBox,.GaltonBox,2.0,public,0.0,0.0,3.0,3.0,"java.util.Random,java.util.List,java.util.ArrayList",0.0,0.0
GaltonBox,.GaltonBox.Position,2.0,private,0.0,1.0,3.0,3.0,"java.util.Random,java.util.List,java.util.ArrayList",0.0,0.0
GameOfLife,.GameOfLife,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
GammaFunction,.GammaFunction,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
GapfulNumbers,.GapfulNumbers,1.0,public,0.0,0.0,1.0,1.0,java.util.List,0.0,0.0
GateLogic,.GateLogic,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
GaussianElimination,.GaussianElimination,1.0,public,0.0,0.0,1.0,1.0,java.util.Locale,0.0,0.0
GeneratorExponential,.GeneratorExponential,3.0,public,0.0,0.0,2.0,2.0,"java.util.function.LongSupplier,java.util.stream.LongStream.generate",0.0,1.0
GeneratorExponential,.SquaresGen,3.0,default,0.0,0.0,2.0,2.0,"java.util.function.LongSupplier,java.util.stream.LongStream.generate",0.0,1.0
GeneratorExponential,.CubesGen,3.0,default,0.0,0.0,2.0,2.0,"java.util.function.LongSupplier,java.util.stream.LongStream.generate",0.0,1.0
GiugaNumbers,.GiugaNumbers,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Collections,java.util.List",0.0,0.0
GloballyReplaceText,.GloballyReplaceText,1.0,public,0.0,0.0,2.0,2.0,"java.io.*,java.nio.file.*",0.0,0.0
GoldenRatio,.GoldenRatio,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Gotchas,.Gotchas,1.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.HashSet,java.util.List,java.util.Set",0.0,0.0
GraphColoring,.GraphColoring,2.0,public,0.0,0.0,7.0,7.0,"java.util.ArrayList,java.util.HashSet,java.util.List,java.util.Map,java.util.Set,java.util.TreeMap,java.util.TreeSet",0.0,0.0
GraphColoring,.GraphColoring.Node,2.0,private,0.0,1.0,7.0,7.0,"java.util.ArrayList,java.util.HashSet,java.util.List,java.util.Map,java.util.Set,java.util.TreeMap,java.util.TreeSet",0.0,0.0
Grapheme,.Grapheme,1.0,public,0.0,0.0,1.0,1.0,java.text.BreakIterator,0.0,0.0
GrayCode,.GrayCode,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
GroupStage,.GroupStage,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Guessing,.Guessing,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Hailstone,.Hailstone,1.0,default,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
HailstoneSequence,.HailstoneSequence,1.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
HaltAndCatchFire,.HaltAndCatchFire,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Hamming,.Hamming,1.0,default,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.PriorityQueue",0.0,0.0
Happy,.Happy,1.0,public,0.0,0.0,1.0,1.0,java.util.HashSet,0.0,0.0
HappyNumbers,.HappyNumbers,1.0,public,0.0,0.0,3.0,3.0,"java.util.Arrays,java.util.HashSet,java.util.List",0.0,0.0
Harshad,.Harshad,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
HashJoin,.HashJoin,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
Haversine,.Haversine,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
HeapsAlgorithm,org.rosettacode.java.HeapsAlgorithm,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.stream.IntStream",0.0,0.0
HelloWorld,.HelloWorld,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Heron,.Heron,1.0,public,0.0,0.0,1.0,1.0,java.util.ArrayList,0.0,0.0
HexWords,.HexWords,1.0,public,0.0,0.0,8.0,8.0,"java.io.IOException,java.nio.file.Files,java.nio.file.Path,java.util.Collections,java.util.Comparator,java.util.List,java.util.Set,java.util.stream.Collectors",0.0,0.0
Hickerson,.Hickerson,1.0,public,0.0,0.0,1.0,1.0,java.math.*,0.0,0.0
Hidato,.Hidato,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Collections,java.util.List",0.0,0.0
HilbertCurve,.HilbertCurve,2.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
HilbertCurve,.HilbertCurve.Point,2.0,public,0.0,1.0,3.0,3.0,"java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
HofQ,.HofQ,1.0,public,0.0,0.0,2.0,2.0,"java.util.HashMap,java.util.Map",0.0,0.0
Hofstadter,.Hofstadter,1.0,default,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
HolyKnightsTour,.HolyKnightsTour,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
HomePrimes,.HomePrimes,1.0,public,0.0,0.0,8.0,8.0,"java.math.BigInteger,java.util.ArrayList,java.util.BitSet,java.util.Collections,java.util.List,java.util.concurrent.ThreadLocalRandom,java.util.stream.Collectors,java.util.stream.Stream",0.0,0.0
Hopido,.Hopido,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
Horner,.Horner,1.0,public,0.0,0.0,3.0,3.0,"java.util.ArrayList,java.util.Collections,java.util.List",0.0,0.0
HTML,.HTML,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
HTTPSAuthenticated,.HTTPSAuthenticated,2.0,public,0.0,0.0,9.0,9.0,"java.io.IOException,java.net.Authenticator,java.net.PasswordAuthentication,java.net.URI,java.net.URISyntaxException,java.net.http.HttpClient,java.net.http.HttpRequest,java.net.http.HttpResponse,java.net.http.HttpResponse.BodyHandlers",0.0,0.0
HTTPSAuthenticated,.MyAuthenticator,2.0,default,0.0,0.0,9.0,9.0,"java.io.IOException,java.net.Authenticator,java.net.PasswordAuthentication,java.net.URI,java.net.URISyntaxException,java.net.http.HttpClient,java.net.http.HttpRequest,java.net.http.HttpResponse,java.net.http.HttpResponse.BodyHandlers",1.0,0.0
HumbleNumbers,.HumbleNumbers,1.0,public,0.0,0.0,7.0,7.0,"java.math.BigInteger,java.util.ArrayList,java.util.Arrays,java.util.Collections,java.util.HashMap,java.util.List,java.util.Map",0.0,0.0
HundredDoors,.HundredDoors,1.0,default,0.0,0.0,0.0,0.0,,0.0,0.0
IBAN,.IBAN,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.*",0.0,0.0
ImaginaryBaseNumber,.ImaginaryBaseNumber,3.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
ImaginaryBaseNumber,.ImaginaryBaseNumber.Complex,3.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
ImaginaryBaseNumber,.ImaginaryBaseNumber.QuaterImaginary,3.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
InfiniteSieve,.InfiniteSieve,2.0,public,0.0,0.0,3.0,3.0,"java.util.Iterator,java.util.PriorityQueue,java.math.BigInteger",0.0,1.0
InfiniteSieve,.InfiniteSieve.NonPrimeSequence,2.0,private,0.0,1.0,3.0,3.0,"java.util.Iterator,java.util.PriorityQueue,java.math.BigInteger",0.0,1.0
IntConcat,.IntConcat,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
IntegerLiterals,.IntegerLiterals,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
IntegerOverflow,.IntegerOverflow,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Integrator,.Integrator,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Intersection,.Intersection,3.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Intersection,.Intersection.Point,3.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
Intersection,.Intersection.Line,3.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
ISIN,.ISIN,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
IsLeap,.IsLeap,1.0,public,0.0,0.0,1.0,1.0,java.time.Year,0.0,0.0
Isqrt,.Isqrt,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
IteratedDigitsSquaring,.IteratedDigitsSquaring,1.0,public,0.0,0.0,1.0,1.0,java.util.stream.IntStream,0.0,0.0
JacobiSymbol,.JacobiSymbol,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
JacobsthalNumbers,.JacobsthalNumbers,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
JaroDistance,.JaroDistance,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
JavaApplication6,.JavaApplication6,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Jensen,.Jensen,1.0,public,0.0,0.0,2.0,2.0,"java.util.function.*,java.util.stream.*",0.0,0.0
Jensen2,.Jensen2,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
JNIDemo,.JNIDemo,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
JortSort,.JortSort,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
Josephus,.Josephus,1.0,public,0.0,0.0,1.0,1.0,java.util.ArrayList,0.0,0.0
JugglerSequence,.JugglerSequence,1.0,public,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.List",0.0,0.0
Kaprekar,.Kaprekar,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
KnightsTour,.KnightsTour,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
Kolakoski,.Kolakoski,2.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
Kolakoski,.Kolakoski.Crutch,2.0,private,0.0,1.0,1.0,1.0,java.util.Arrays,0.0,0.0
Kosaraju,.Kosaraju,2.0,public,0.0,0.0,7.0,7.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.concurrent.atomic.AtomicInteger,java.util.function.BiConsumer,java.util.function.IntConsumer,java.util.stream.Collectors",0.0,0.0
Kosaraju,.Kosaraju.Recursive,2.0,default,0.0,1.0,7.0,7.0,"java.util.ArrayList,java.util.Arrays,java.util.List,java.util.concurrent.atomic.AtomicInteger,java.util.function.BiConsumer,java.util.function.IntConsumer,java.util.stream.Collectors",0.0,0.0
KT,.KT,1.0,public,0.0,0.0,4.0,4.0,"java.util.ArrayList,java.util.Collections,java.util.Comparator,java.util.List",0.0,0.0
LahNumbers,.LahNumbers,1.0,public,0.0,0.0,3.0,3.0,"java.math.BigInteger,java.util.HashMap,java.util.Map",0.0,0.0
LargestNumberDivisibleByItsDigits,.LargestNumberDivisibleByItsDigits,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
LargestProperDivisor,.LargestProperDivisor,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LastFridays,.LastFridays,1.0,public,0.0,0.0,2.0,2.0,"java.text.*,java.util.*",0.0,0.0
LastLetterFirstLetter,.LastLetterFirstLetter,1.0,default,0.0,0.0,0.0,0.0,,0.0,0.0
LatinSquaresInReducedForm,.LatinSquaresInReducedForm,3.0,public,0.0,0.0,4.0,4.0,"java.math.BigInteger,java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
LatinSquaresInReducedForm,.LatinSquaresInReducedForm.LatinSquare,3.0,private,0.0,1.0,4.0,4.0,"java.math.BigInteger,java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
LatinSquaresInReducedForm,.LatinSquaresInReducedForm.PermutationGenerator,3.0,private,0.0,1.0,4.0,4.0,"java.math.BigInteger,java.util.ArrayList,java.util.Arrays,java.util.List",0.0,0.0
Leapyear,.Leapyear,1.0,public,0.0,0.0,2.0,2.0,"java.util.GregorianCalendar,java.text.MessageFormat",0.0,0.0
LeftFac,.LeftFac,1.0,public,0.0,0.0,1.0,1.0,java.math.BigInteger,0.0,0.0
LeftTruncatablePrime,.LeftTruncatablePrime,1.0,default,0.0,0.0,2.0,2.0,"java.math.BigInteger,java.util.*",0.0,0.0
LegendrePrimeCounter,.LegendrePrimeCounter,1.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
LeonardoNumbers,.LeonardoNumbers,1.0,public,0.0,0.0,2.0,2.0,"java.util.Arrays,java.util.List",0.0,0.0
Letters,.Letters,1.0,public,0.0,0.0,1.0,1.0,java.util.stream.IntStream,0.0,0.0
Levenshtein,.Levenshtein,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LevenshteinAlignment,.LevenshteinAlignment,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LexicographicalNumbers,.LexicographicalNumbers,1.0,public,0.0,0.0,2.0,2.0,"java.util.List,java.util.stream.*",0.0,0.0
Life,.Life,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LinearCombination,.LinearCombination,1.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
LinearCongruentialGenerator,.LinearCongruentialGenerator,1.0,public,0.0,0.0,2.0,2.0,"java.util.stream.IntStream,java.util.stream.IntStream.iterate",0.0,0.0
LinePlaneIntersection,.LinePlaneIntersection,2.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LinePlaneIntersection,.LinePlaneIntersection.Vector3D,2.0,private,0.0,1.0,0.0,0.0,,0.0,0.0
LinePrinter,.LinePrinter,1.0,public,0.0,0.0,2.0,2.0,"java.io.FileWriter,java.io.IOException",0.0,0.0
LIS,.LIS,2.0,public,0.0,0.0,1.0,1.0,java.util.*,0.0,0.0
LIS,.LIS.Node,2.0,private,0.0,1.0,1.0,1.0,java.util.*,0.0,1.0
ListFields,.ListFields,1.0,public,0.0,0.0,1.0,1.0,java.lang.reflect.Field,0.0,0.0
ListMethods,.ListMethods,1.0,public,0.0,0.0,1.0,1.0,java.lang.reflect.Method,0.0,0.0
ListRootedTrees,.ListRootedTrees,1.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
Logic,.Logic,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LogicPuzzle,.LogicPuzzle,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LogisticCurveFitting,.LogisticCurveFitting,1.0,public,0.0,0.0,2.0,2.0,"java.util.List,java.util.function.Function",0.0,0.0
LongestCommonSubstring,.LongestCommonSubstring,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LongLiteralsWithContinuations,.LongLiteralsWithContinuations,1.0,public,0.0,0.0,5.0,5.0,"java.time.ZoneId,java.time.ZonedDateTime,java.time.format.DateTimeFormatter,java.util.Arrays,java.util.List",0.0,0.0
LongMult,.LongMult,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LongMultBinary,.LongMultBinary,2.0,public,0.0,0.0,1.0,1.0,java.util.Arrays,0.0,0.0
LongMultBinary,.LongMultBinary.MyLongNum,2.0,public,0.0,1.0,1.0,1.0,java.util.Arrays,0.0,1.0
LongPrimes,.LongPrimes,1.0,public,0.0,0.0,2.0,2.0,"java.util.LinkedList,java.util.List",0.0,0.0
LongYear,.LongYear,1.0,public,0.0,0.0,2.0,2.0,"java.time.LocalDate,java.time.temporal.WeekFields",0.0,0.0
LoopIncrementWithinBody,.LoopIncrementWithinBody,1.0,public,0.0,0.0,0.0,0.0,,0.0,0.0
LoopsWithMultipleRanges,.LoopsWithMultipleRanges,1.0,public,0.0,0.0,2.0,2.0,"java.util.ArrayList,java.util.List",0.0,0.0
